;Model;co2
34476;Sierra 2500 2WD;592.47
34477;Cutlass Supreme;493.72
34478;B2300/B3000/B4000 Pickup 2WD;522.76
34479;T100 2WD;555.44
34480;K1500 Pickup 4WD;592.47
34481;K1500 Pickup 4WD;634.79
34482;K1500 Pickup 4WD;678.67
34483;Dakota Pickup 4WD;592.47
34484;F250 Pickup 4WD;634.79
34485;Ranger Pickup 4WD;555.44
34486;Sierra 1500 4WD;678.67
34487;Sonoma 4WD;522.76
34488;Civic;317.39
34489;Tacoma 4WD;555.44
34490;Tacoma 4WD;555.44
34491;T100 4WD;555.44
34492;Gran Fury;555.44
34493;Van 1500/2500 2WD;634.79
34494;B1500/B2500 Van 2WD;634.79
34495;B1500/B2500 Van 2WD;683.62
34496;E150 Econoline 2WD;592.47
34497;E150 Econoline 2WD;683.62
34498;Express 1500/2500 2WD;634.79
34499;B1500/B2500 Wagon 2WD;634.79
34500;B1500/B2500 Wagon 2WD;634.79
34501;Aerostar Wagon AWD;592.47
34502;Reliant;423.19
34503;Pathfinder 2WD;555.44
34504;Quest;493.72
34505;Caravan/Grand Caravan 2WD;493.72
34506;Reliant;467.74
34507;Expedition 2WD;592.47
34508;Windstar FWD Wagon;522.76
34509;Sportage 2WD;493.72
34510;Tracker Convertible 2WD;423.19
34511;Tracker Van 2WD;423.19
34512;Bonneville;555.44
34513;Jimmy 2WD;522.76
34514;Passport 2WD;592.47
34515;Voyager/Grand Voyager 2WD;444.35
34516;Voyager/Grand Voyager 2WD;467.74
34517;Sidekick Sport 2WD;444.35
34518;Sidekick 2Door 2WD;423.19
34519;Suburban 1500 4WD;740.58
34520;Pathfinder 4WD;592.47
34521;6000;467.74
34522;Grand Cherokee 4WD;634.79
34523;Explorer 4WD;634.79
34524;Sportage 4WD;467.74
34525;Tracker Convertible 4x4;423.19
34526;Tracker Convertible 4x4;403.95
34527;Tracker Van 4x4;423.19
34528;Jimmy AWD;555.44
34529;Jimmy 4WD;555.44
34530;Electra/Park Avenue;493.72
34531;Rodeo 4WD;555.44
34532;Trooper;592.47
34533;Passport 4WD;592.47
34534;Montero;555.44
34535;Montero;592.47
34536;MPV 4x4;592.47
34537;LeSabre;493.72
34538;4Runner 4WD;522.76
34539;M Roadster;423.19
34540;Viper Convertible;683.62
34541;Viper Coupe;683.62
34542;Prelude;370.29
34543;SL600;634.79
34544;Boxster;522.76
34545;X-90 4WD;403.95
34546;Impala/Caprice;493.72
34547;Cabriolet;467.74
34548;323i Convertible;444.35
34549;328i Convertible;467.74
34550;328i Convertible;444.35
34551;Eclipse Convertible;444.35
34552;Eclipse Convertible;386.39
34553;Eclipse Convertible;423.19
34554;911 Carrera 4/2;522.76
34555;Celica Convertible;403.95
34556;Supra;467.74
34557;Supra;493.72
34558;2.3CL/3.0CL;403.95
34559;Delta 88 Royale;522.76
34560;318i/318is;370.29
34561;Camaro;493.72
34562;Cavalier;386.39
34563;Talon;467.74
34564;Talon;444.35
34565;Talon;467.74
34566;Talon;423.19
34567;Mustang;493.72
34568;Parisienne;493.72
34569;Civic HX;261.38
34570;SC 300/SC 400;467.74
34571;SC 300/SC 400;467.74
34572;CLK320;403.95
34573;3000 GT;467.74
34574;Eclipse;423.19
34575;Mirage;355.48
34576;Skyhawk Wagon;355.48
34577;Sentra/200SX;306.45
34578;Sunfire;386.39
34579;Sunfire;370.29
34580;900S Convertible;403.95
34581;Impreza AWD;386.39
34582;Impreza AWD;423.19
34583;Swift;253.91
34584;Celica;403.95
34585;Tercel;329.15
34586;Tercel;306.45
34587;Cabrio;370.29
34588;New Beetle;267.89
34589;C70 Convertible;467.74
34590;A4;403.95
34591;A4 quattro;403.95
34592;A4 quattro;467.74
34593;A4 quattro;444.35
34594;528i;444.35
34595;Prizm;306.45
34596;JX/JXI/Limited Convertible;444.35
34597;Nubira;370.29
34598;Avenger;403.95
34599;Avenger;386.39
34600;Contour;370.29
34601;Contour;355.48
34602;Escort;317.39
34603;Accent;317.39
34604;XJR;522.76
34605;Mystique;444.35
34606;Colt Vista;386.39
34607;Protege;355.48
34608;Escort Wagon;341.81
34609;CL500;555.44
34610;Achieva;423.19
34611;Neon;306.45
34612;Grand Am;370.29
34613;SL;317.39
34614;Jetta;370.29
34615;C70;444.35
34616;A6;467.74
34617;A8;493.72
34618;Turbo RT;740.58
34619;Malibu;423.19
34620;Cirrus;403.95
34621;Taurus;467.74
34622;Accord;370.29
34623;E320 Sedan;423.19
34624;Aurora;493.72
34625;Cutlass;370.29
34626;Cutlass;423.19
34627;Breeze;403.95
34628;Grand Prix;467.74
34629;900SE;423.19
34630;Camry;386.39
34631;Camry;423.19
34632;Passat;328.39
34633;S70;467.74
34634;Grand Marquis;493.72
34635;S320;493.72
34636;S320;493.72
34637;S600;683.62
34638;A4 Avant;444.35
34639;Escort Wagon;355.48
34640;Impreza Wagon AWD;386.39
34641;Sable Wagon;467.74
34642;E320 Wagon;444.35
34643;Legacy Wagon AWD;444.35
34644;Legacy Wagon AWD;423.19
34645;Passat Wagon;403.95
34646;Passat Wagon;370.29
34647;V70 FWD;444.35
34648;V70 AWD;467.74
34649;Hombre Pickup 2WD;467.74
34650;Hombre Pickup 2WD;522.76
34651;Tacoma 2WD;467.74
34652;C1500 Pickup 2WD;555.44
34653;C1500 Pickup 2WD;493.72
34654;C1500 Pickup 2WD;634.79
34655;Pickup 2500 2WD;592.47
34656;Pickup 2500 2WD;592.47
34657;Dakota Pickup 2WD;683.62
34658;F150 Pickup 2WD;634.79
34659;F250 Pickup 2WD;592.47
34660;F250 Pickup 2WD CNG;639.09
34661;Ranger Pickup 2WD;522.76
34662;Aries Wagon;444.35
34663;Sierra 1500 2WD;493.72
34664;Sierra 1500 2WD;592.47
34665;Sierra 2500 2WD;592.47
34666;Sierra 2500 2WD;678.67
34667;T100 2WD;467.74
34668;T100 2WD;522.76
34669;K1500 Pickup 4WD;683.62
34670;K1500 Pickup 4WD;683.62
34671;Dakota Pickup 4WD;592.47
34672;F150 Pickup 4WD;592.47
34673;F250 Pickup 4WD;634.79
34674;Aries Wagon;467.74
34675;Sierra 1500 4WD;555.44
34676;Sierra 1500 4WD;555.44
34677;LTD Wagon;493.72
34678;Hombre Pickup 4WD;522.76
34679;B2500/B3000/B4000 4WD;522.76
34680;Tacoma 4WD;493.72
34681;Tacoma 4WD;555.44
34682;Tacoma 4WD;555.44
34683;B1500 Van 2WD;634.79
34684;E150 Econoline 2WD;592.47
34685;E250 Econoline 2WD CNG;639.09
34686;Savana 1500/2500 2WD (cargo);634.79
34687;Safari AWD (cargo);555.44
34688;Express 1500/2500 2WD;592.47
34689;Cutlass Cruiser Wagon;467.74
34690;B1500 Wagon 2WD;634.79
34691;B1500 Wagon 2WD;634.79
34692;B2500 Wagon 2WD;683.62
34693;E150 Club Wagon;634.79
34694;Safari 2WD (passenger);555.44
34695;Reliant Wagon;444.35
34696;Tracker 2WD Hardtop;403.95
34697;Caravan/Grand Caravan 2WD;467.74
34698;Windstar FWD Van;467.74
34699;Jimmy 2WD;493.72
34700;Cherokee 2WD;493.72
34701;Cherokee 2WD;493.72
34702;Navigator 2WD;683.62
34703;Montero Sport 2WD;423.19
34704;Nativa 2WD;423.19
34705;Nativa 2WD;493.72
34706;Voyager/Grand Voyager 2WD;467.74
34707;Sidekick 2Door RWD;423.19
34708;Sidekick 2Door RWD;403.95
34709;4Runner 2WD;467.74
34710;RAV4 2WD;386.39
34711;RAV4 Soft Top 2WD;386.39
34712;Blazer 4WD;555.44
34713;Tracker 4WD Hardtop;423.19
34714;Caravan/Grand Caravan AWD;522.76
34715;Durango 4WD;683.62
34716;Expedition 4WD;634.79
34717;Explorer 4WD;592.47
34718;Jimmy 4WD;555.44
34719;Yukon 1500 4WD;683.62
34720;Rodeo 4WD;555.44
34721;Cherokee 4WD;555.44
34722;Cherokee 4WD;555.44
34723;Grand Cherokee 4WD;683.62
34724;Wrangler 4WD;555.44
34725;Wrangler 4WD;522.76
34726;Wrangler 4WD;555.44
34727;S10 Pickup 2WD;377.04
34728;ML320;522.76
34729;Montero;555.44
34730;S10 Pickup 2WD;377.04
34731;4Runner 4WD;555.44
34732;RAV4 Soft Top 4WD;403.95
34733;Z3 Roadster;444.35
34734;DB132/144 Diablo;888.7
34735;SL500;522.76
34736;SLK230 Kompressor;403.95
34737;M3 Convertible;493.72
34738;Truck 2WD;444.35
34739;Eclipse Convertible;423.19
34740;Truck 2WD;391.54
34741;2.3CL/3.0CL;370.29
34742;Cavalier;355.48
34743;Cavalier;386.39
34744;Mustang;423.19
34745;Civic HX;286.68
34746;3000 GT;493.72
34747;Eclipse;467.74
34748;Eclipse;386.39
34749;Mirage;355.48
34750;Firebird/Trans Am;444.35
34751;Sunfire;386.39
34752;S15 Pickup 2WD;467.74
34753;Impreza AWD;403.95
34754;SW;253.91
34755;Tercel;329.15
34756;C70 Convertible;444.35
34757;A4;403.95
34758;A4;444.35
34759;A4;423.19
34760;Continental R;740.58
34761;Prizm;341.81
34762;Lanos;341.81
34763;Nubira;403.95
34764;Neon;370.29
34765;Contour;423.19
34766;Contour;444.35
34767;Escort;317.39
34768;Truck 2WD;370.29
34769;XJ8;493.72
34770;Sephia;370.29
34771;Cougar;386.39
34772;Cougar;355.48
34773;Mystique;423.19
34774;Mystique;444.35
34775;Protege;329.15
34776;C230 Kompressor;403.95
34777;CL500;555.44
34778;Alero;444.35
34779;Neon;317.39
34780;Legacy AWD;423.19
34781;Camry Solara;444.35
34782;Camry Solara;423.19
34783;New Golf;308.48
34784;New Jetta;403.95
34785;A6 quattro;493.72
34786;A8 quattro;493.72
34787;740i;493.72
34788;Scrambler;522.76
34789;Regal;467.74
34790;Lumina/Monte Carlo;423.19
34791;Cirrus;444.35
34792;Leganza;423.19
34793;Stratus;329.15
34794;Stratus;403.95
34795;Stratus;444.35
34796;Accord;370.29
34797;Accord;370.29
34798;E320 Sedan;423.19
34799;Diamante;493.72
34800;Silver Spur;740.58
34801;09-Mar;423.19
34802;Camry;444.35
34803;S70;444.35
34804;S70;444.35
34805;Brooklands R Limo;807.91
34806;Park Avenue;467.74
34807;DeVille;493.72
34808;Crown Victoria;493.72
34809;S420;555.44
34810;Eighty-Eight/Regency;467.74
34811;Eighty-Eight/Regency;444.35
34812;A4 Avant quattro;444.35
34813;El Camino Pickup 2WD;555.44
34814;A6 Avant quattro;493.72
34815;Taurus Wagon;467.74
34816;Taurus Wagon;467.74
34817;D100/D150 Pickup 2WD;592.47
34818;RX 300 4WD;493.72
34819;Sable Wagon;444.35
34820;Legacy Wagon AWD;423.19
34821;Passat Wagon;370.29
34822;Passat Wagon;423.19
34823;Passat Wagon Syncro;493.72
34824;V70 FWD;444.35
34825;V70 AWD;467.74
34826;V70 AWD;467.74
34827;S10 Pickup 2WD;522.76
34828;Hombre Pickup 2WD;555.44
34829;Silverado 1500 2WD;555.44
34830;Silverado 1500 2WD;555.44
34831;Dakota Pickup 2WD;467.74
34832;Dakota Pickup 2WD;555.44
34833;Dakota Pickup 2WD;634.79
34834;Dakota Pickup 2WD;683.62
34835;Ram 1500 Pickup 2WD;634.79
34836;Ranger 2WD FFV;493.72
34837;Ranger Pickup 2WD;423.19
34838;Sierra 1500 2WD;555.44
34839;Sierra 1500 2WD;634.79
34840;Sierra 2500 2WD;592.47
34841;Sierra 2500 2WD;740.58
34842;B2500;444.35
34843;B2500;423.19
34844;B4000;522.76
34845;Frontier 2WD;423.19
34846;Silverado 1500 4WD;592.47
34847;Ram 1500 Pickup 4WD;740.58
34848;F150 Pickup 4WD;634.79
34849;Ranger 4WD FFV;592.47
34850;Sierra 1500 4WD;592.47
34851;Sonoma 4WD;522.76
34852;Frontier V6 4WD;555.44
34853;Tacoma 4WD;555.44
34854;Astro 2WD (cargo);555.44
34855;Van 1500/2500 2WD;592.47
34856;E150 Econoline 2WD;634.79
34857;Astro 2WD (passenger);555.44
34858;B1500 Wagon 2WD;634.79
34859;Caravan/Grand Caravan 2WD;467.74
34860;C25 Pickup 2WD;740.58
34861;Odyssey;467.74
34862;Villager FWD Wagon;493.72
34863;Voyager/Grand Voyager 2WD;444.35
34864;Voyager/Grand Voyager 2WD;493.72
34865;Voyager/Grand Voyager 2WD;493.72
34866;Sienna 2WD;467.74
34867;Caravan/Grand Caravan AWD;555.44
34868;Tracker 2WD Hardtop;403.95
34869;Durango 2WD;634.79
34870;Expedition 2WD;683.62
34871;Explorer 2WD;592.47
34872;Jimmy 2WD;555.44
34873;Amigo 2WD;444.35
34874;Amigo 2WD;522.76
34875;Navigator 2WD;683.62
34876;Mountaineer 2WD;592.47
34877;Grand Vitara 4Door 2WD;493.72
34878;Vitara 2Door 2WD;370.29
34879;Vitara 4Door 2WD;423.19
34880;Truck 4WD;522.76
34881;Tahoe 1500 4WD;678.67
34882;Tracker 4WD Convertible;423.19
34883;Explorer 4WD;634.79
34884;Yukon 1500 4WD;683.62
34885;Passport 4WD;555.44
34886;Cherokee 4WD;555.44
34887;Wrangler 4WD;592.47
34888;Sportage 4WD;467.74
34889;Discovery Series II;683.62
34890;Montero Sport 4WD;522.76
34891;Pathfinder 4WD;592.47
34892;F250 Pickup 4WD;683.62
34893;Pathfinder 4WD;592.47
34894;Vitara 4Door 4WD;423.19
34895;4Runner 4WD;522.76
34896;Z3 Coupe;467.74
34897;Viper Convertible;634.79
34898;360 Modena/Spider;807.91
34899;550 Maranello;987.44
34900;Insight;167.68
34901;DB-7 Vantage Coupe;740.58
34902;CLK320 (Cabriolet);444.35
34903;911 Carrera;493.72
34904;Detomaso Mangusta;423.19
34905;T15 (S15) Pickup 4WD;493.72
34906;Continental T;740.58
34907;323ci;467.74
34908;Cavalier;370.29
34909;Metro;317.39
34910;456 MGT/MGA;807.91
34911;Astro 2WD (cargo);444.35
34912;Civic;329.15
34913;Civic;296.23
34914;Civic HX;269.3
34915;Prelude;403.95
34916;XK8;493.72
34917;CLK430;467.74
34918;Mirage;286.68
34919;Sunfire;386.39
34920;9-3 Convertible;403.95
34921;SC;306.45
34922;Celica;329.15
34923;C70 Convertible;467.74
34924;A4;370.29
34925;A4 quattro;467.74
34926;S4;493.72
34927;528i;467.74
34928;540i;493.72
34929;Prizm;317.39
34930;Avenger;444.35
34931;B350 Van 2WD;683.62
34932;Contour;386.39
34933;Contour;423.19
34934;E150 Econoline 2WD;634.79
34935;Accent/Brio;341.81
34936;Elantra;403.95
34937;G20;386.39
34938;XJR;555.44
34939;Sephia/Spectra;403.95
34940;Millenia;444.35
34941;Protege;341.81
34942;C280;423.19
34943;E150 Econoline 2WD;522.76
34944;Altima;370.29
34945;Sentra;386.39
34946;E150 Econoline 2WD;740.58
34947;Corolla;341.81
34948;Echo;277.72
34949;Golf;370.29
34950;E250 Econoline 2WD;683.62
34951;GTI;370.29
34952;Jetta;403.95
34953;Jetta;370.29
34954;Jetta;444.35
34955;C70 Coupe;444.35
34956;A6 quattro;493.72
34957;A6 quattro;493.72
34958;Arnage;740.58
34959;Arnage;740.58
34960;740i/740i Sport;555.44
34961;Regal;423.19
34962;Eldorado;467.74
34963;G15/25 Vandura 2WD;592.47
34964;Lumina/Monte Carlo;423.19
34965;Malibu;386.39
34966;Leganza;423.19
34967;Leganza;423.19
34968;Accord;403.95
34969;Accord;370.29
34970;Sonata;403.95
34971;Sonata;444.35
34972;I30;444.35
34973;Vanden Plas S/C;555.44
34974;S-type (X200) V6;467.74
34975;XJ8L;493.72
34976;GS 300/GS 400;467.74
34977;LS 400;467.74
34978;LS;493.72
34979;LS;493.72
34980;Sable;444.35
34981;Maxima;423.19
34982;Breeze;444.35
34983;Grand Prix;423.19
34984;Astro 2WD (passenger);444.35
34985;09-May;467.74
34986;Camry;386.39
34987;Camry;370.29
34988;Camry;423.19
34989;Passat;370.29
34990;S80;493.72
34991;750il/750il Protection;634.79
34992;Park Avenue;467.74
34993;Concorde;423.19
34994;G10/20 Sport Van 2WD;634.79
34995;Taurus;444.35
34996;Taurus;444.35
34997;Continental;493.72
34998;Town Car;493.72
34999;A4 Avant;467.74
35000;528i Sport Wagon;467.74
35001;528i Sport Wagon;467.74
35002;G10/20 Sport Van 2WD;565.56
35003;Nubira Station Wagon;386.39
35004;RX 300;467.74
35005;RX 300 4WD;493.72
35006;Sable Wagon;467.74
35007;9-5 Wagon;467.74
35008;V70 FWD;444.35
35009;V70 FWD;423.19
35010;Sonoma 2WD;467.74
35011;Sonoma 2WD;386.39
35012;Hombre Pickup 2WD;467.74
35013;Ram 1500 Pickup 2WD;634.79
35014;Ranger Pickup 2WD;555.44
35015;Ranger Pickup 2WD;493.72
35016;G15/25 Rally 2WD;740.58
35017;Sierra 1500 2WD;555.44
35018;Sierra 1500 2WD;493.72
35019;Sierra 2500 2WD;592.47
35020;Sierra 2500 2WD;740.58
35021;Tacoma 2WD;522.76
35022;Tacoma 2WD;467.74
35023;Silverado 1500 4WD;592.47
35024;Dakota Pickup 4WD;634.79
35025;Ram 1500 Pickup 4WD;683.62
35026;F150 Pickup 4WD;592.47
35027;Ranger Pickup 4WD;592.47
35028;Sierra 1500 4WD;592.47
35029;B2500 Van 2WD;634.79
35030;B2500 Van 2WD;683.62
35031;E150 Econoline 2WD;592.47
35032;Savana 1500/2500 2WD (cargo);592.47
35033;Suburban C10 2WD;740.58
35034;Suburban C10 2WD;565.56
35035;Safari 2WD (Passenger);555.44
35036;Windstar FWD Cargo Van;493.72
35037;Windstar FWD Wagon;522.76
35038;Voyager/Grand Voyager 2WD;444.35
35039;Voyager/Grand Voyager 2WD;467.74
35040;Voyager/Grand Voyager 2WD;467.74
35041;Tracker 2WD Convertible;403.95
35042;Tracker 2WD Hardtop;403.95
35043;Tracker 2WD Hardtop;423.19
35044;Explorer 2WD;555.44
35045;AD100/AD150 Ramcharger 2WD;683.62
35046;Explorer 2WD;592.47
35047;Yukon 1500 2WD;592.47
35048;Yukon 1500 2WD;634.79
35049;Amigo 2WD;467.74
35050;Cherokee 2WD;444.35
35051;Caravan/Ram Van 2WD;403.95
35052;Mountaineer 2WD;592.47
35053;Montero Sport 2WD;522.76
35054;Caravan/Ram Van 2WD;522.76
35055;4Runner 2WD;522.76
35056;X5;634.79
35057;Blazer 4WD;592.47
35058;Tahoe 1500 4WD;634.79
35059;Tracker 4WD Hardtop;423.19
35060;Explorer 4WD;592.47
35061;Yukon 1500 4WD;683.62
35062;Yukon XL 1500 4WD;683.62
35063;Amigo 4WD;555.44
35064;Rodeo 4WD;555.44
35065;Trooper;592.47
35066;Cherokee 4WD;555.44
35067;Discovery Series II;683.62
35068;LX 470;683.62
35069;Mountaineer 4WD;592.47
35070;Nativa 4WD;522.76
35071;Forester AWD;423.19
35072;Vitara 2Door 4WD;403.95
35073;Vitara 2Door 4WD;386.39
35074;190;493.72
35075;RAV4 4WD;423.19
35076;Taurus Wagon;444.35
35077;Ranger 4WD FFV;522.76
35078;RAV4 EV;0.0
35079;K10 Blazer 4WD;740.58
35080;Z3 Roadster;444.35
35081;Z3 Roadster;444.35
35082;Corvette;444.35
35083;550 Maranello/Barchetta;987.44
35084;Insight;189.09
35085;Insight;167.68
35086;DB132/144 Diablo;807.91
35087;MX-5 Miata;403.95
35088;SLK230 Kompressor;423.19
35089;325ci Convertible;467.74
35090;XKR Convertible;522.76
35091;CLK320 (Cabriolet);444.35
35092;CLK430 (Cabriolet);493.72
35093;Integra;386.39
35094;Integra;370.29
35095;T10 (S10) Blazer 4WD;522.76
35096;Integra;370.29
35097;Azure;740.58
35098;330ci;423.19
35099;190;444.35
35100;Bronco II 4WD;555.44
35101;456 MGT/MGA;807.91
35102;Escort ZX2;341.81
35103;Bronco II 4WD;522.76
35104;Mustang;493.72
35105;Mustang;493.72
35106;Tiburon;403.95
35107;Tiburon;370.29
35108;XK8;493.72
35109;XKR;522.76
35110;Eclipse;444.35
35111;Firebird/Trans Am;467.74
35112;Stage 3 Mustang;493.72
35113;Bronco 4WD;683.62
35114;Impreza AWD;403.95
35115;Impreza AWD;423.19
35116;Bronco 4WD;683.62
35117;Esteem;306.45
35118;Celica;329.15
35119;New Beetle;308.48
35120;C70 Convertible;423.19
35121;A4 quattro;493.72
35122;325i;444.35
35123;325i;423.19
35124;330i;423.19
35125;330i;444.35
35126;525i;444.35
35127;540i;555.44
35128;M5;592.47
35129;Cavalier;423.19
35130;Prizm;286.68
35131;Sebring;386.39
35132;Sebring;444.35
35133;Stratus;386.39
35134;Cherokee/Wagoneer;522.76
35135;Focus;370.29
35136;Focus;317.39
35137;Focus;355.48
35138;G20;386.39
35139;Rio;355.48
35140;ES 300;444.35
35141;Millenia;444.35
35142;Protege/Protege MPS;341.81
35143;Protege/Protege MPS;317.39
35144;C240;467.74
35145;CL500;522.76
35146;CL55 AMG;522.76
35147;CL600;555.44
35148;CJ7;522.76
35149;Neon;341.81
35150;Corolla;329.15
35151;Golf;308.48
35152;Jetta;403.95
35153;Jetta;370.29
35154;Passat 4motion;493.72
35155;Brat 4WD;444.35
35156;S60;423.19
35157;S60;423.19
35158;3.5RL;493.72
35159;740i;555.44
35160;Leganza;423.19
35161;Stratus 4 Door;444.35
35162;Stratus 4 Door;423.19
35163;Accord;423.19
35164;Sedan 4WD;403.95
35165;S-Type;493.72
35166;LS;522.76
35167;Sable;467.74
35168;Maxima;444.35
35169;09-Mar;423.19
35170;09-Mar;403.95
35171;L300;444.35
35172;Camry;370.29
35173;Camry;444.35
35174;DeVille;493.72
35175;Impala;423.19
35176;Truck Cab Chassis 2WD;683.62
35177;Intrepid;467.74
35178;Taurus;467.74
35179;Continental;493.72
35180;Ranger Pickup Cab Chassis;592.47
35181;A4 Avant quattro;493.72
35182;Jetta Wagon;403.95
35183;Jetta Wagon;444.35
35184;A6 Avant quattro;493.72
35185;Taurus Wagon;467.74
35186;Sable Wagon;467.74
35187;9-5 Wagon;444.35
35188;Legacy Wagon AWD;423.19
35189;Legacy Wagon AWD;444.35
35190;V70 FWD;444.35
35191;S10 Pickup 2WD;555.44
35192;Silverado 1500 2WD;555.44
35193;Dakota Pickup 2WD;444.35
35194;Ram 1500 Pickup 2WD;634.79
35195;F150 Pickup 2WD;683.62
35196;Sierra 1500 2WD;555.44
35197;B2500 2WD;467.74
35198;B3000;522.76
35199;Frontier V6 2WD;555.44
35200;Frontier V6 2WD;592.47
35201;Tacoma 2WD;493.72
35202;Tundra 2WD;555.44
35203;Civic CRX;306.45
35204;Dakota Pickup 4WD;634.79
35205;F150 Pickup 4WD;592.47
35206;F150 Pickup 4WD;634.79
35207;Sierra 1500 4WD;634.79
35208;Sierra 1500 4WD;634.79
35209;Sierra 1500 4WD;634.79
35210;EXP;341.81
35211;Van 1500/2500 2WD;634.79
35212;Ram Van 1500 2WD;634.79
35213;Ram Van 1500 2WD;634.79
35214;Ram Van 2500 2WD;683.62
35215;E150 Econoline 2WD;592.47
35216;Savana 1500/2500 2WD (cargo);592.47
35217;Safari AWD (cargo);592.47
35218;Astro AWD (passenger);592.47
35219;Civic CRX;306.45
35220;E150 Club Wagon;683.62
35221;Savana 1500/2500  2WD (Passenger);634.79
35222;Windstar FWD Van;493.72
35223;Villager FWD Wagon;522.76
35224;Silhouette 2WD;444.35
35225;Montana FWD;444.35
35226;Eurovan;555.44
35227;Caravan/Grand Caravan AWD;522.76
35228;Tahoe 1500 2WD;634.79
35229;Tracker 2WD Hardtop;423.19
35230;Durango 2WD;634.79
35231;Explorer Sport 2WD;493.72
35232;Yukon XL 1500 2WD;634.79
35233;Santa Fe 2WD;444.35
35234;Santa Fe 2WD;423.19
35235;Kallista;444.35
35236;Trooper 2WD;592.47
35237;Kallista;423.19
35238;Cherokee 2WD;555.44
35239;Fiero;355.48
35240;Montero Sport 2WD;493.72
35241;Nativa 2WD (Puerto Rico Only);493.72
35242;Aztek FWD;444.35
35243;Vitara 2Door;423.19
35244;Vitara 4Door;423.19
35245;4Runner 2WD;522.76
35246;RAV4 2WD;370.29
35247;Allroad;555.44
35248;X5;555.44
35249;X5;555.44
35250;Blazer 4WD;592.47
35251;Expedition 4WD;634.79
35252;500SL;740.58
35253;Yukon XL 1500 4WD;740.58
35254;Passport 4WD;555.44
35255;QX4 4WD;592.47
35256;Rodeo 4WD;522.76
35257;Trooper 4WD;592.47
35258;Trooper 4WD;592.47
35259;Vehicross 4WD;592.47
35260;Discovery Series II;683.62
35261;Range Rover;683.62
35262;Range Rover;740.58
35263;LX 470;683.62
35264;Sprint;253.91
35265;Grand Vitara 4WD;493.72
35266;Vitara 2Door 4WD;386.39
35267;RAV4 4WD;403.95
35268;Sequoia 4WD;634.79
35269;V70 XC AWD;493.72
35270;Camry CNG;319.55
35271;Sprint ER;185.15
35272;Crown Victoria CNG;439.38
35273;Ram Van 2500 2WD CNG;585.83
35274;E250 CNG;585.83
35275;Hombre Pickup 2WD (FFV);403.95
35276;Taurus FFV;467.74
35277;Caravan/Grand Caravan 2WD;493.72
35278;RAV4 EV;0.0
35279;360 Modena/Spider;807.91
35280;MX-5 Miata;403.95
35281;MX-5 Miata;386.39
35282;Plus Eight;522.76
35283;Boxster;493.72
35284;Cooper;355.48
35285;911 Carrera;467.74
35286;Mirage;403.95
35287;911 Turbo;555.44
35288;944;444.35
35289;Camaro;444.35
35290;Escort ZX2;341.81
35291;Civic HX;277.72
35292;Cabriolet;423.19
35293;Tiburon;444.35
35294;Coupe Cambiocorsa/coupe GT;740.58
35295;CLK55 AMG;493.72
35296;CLK55 AMG (Cabriolet);522.76
35297;Eclipse;386.39
35298;Eclipse;444.35
35299;Mirage;296.23
35300;Gy/yugo GVX;355.48
35301;Firebird;444.35
35302;Stage 3 Mustang;493.72
35303;9-3 Convertible;370.29
35304;SC;341.81
35305;Esteem;341.81
35306;Esteem;329.15
35307;Cabrio;386.39
35308;Cabrio;370.29
35309;New Beetle;386.39
35310;New Beetle;370.29
35311;A4 quattro;444.35
35312;S4;493.72
35313;330i;403.95
35314;Sebring;444.35
35315;Sebring;423.19
35316;Sebring Convertible;403.95
35317;6 Series;555.44
35318;Sebring Convertible;444.35
35319;Neon;329.15
35320;Stratus;444.35
35321;Focus;355.48
35322;Civic;306.45
35323;Elantra;355.48
35324;Rio;370.29
35325;IS 300;467.74
35326;IS 300;493.72
35327;Millenia;444.35
35328;Protege/Protege 5;370.29
35329;C230 Kompressor;423.19
35330;C320;467.74
35331;Sentra;403.95
35332;Sentra;403.95
35333;Alero;370.29
35334;Sunfire;370.29
35335;SL;329.15
35336;Aerio;355.48
35337;Corolla;286.68
35338;Echo;277.72
35339;Cavalier Convertible;467.74
35340;Jetta;403.95
35341;Jetta;403.95
35342;Cavalier Convertible;493.72
35343;Jetta;467.74
35344;S60 FWD;423.19
35345;A6 quattro;493.72
35346;Chevette CS;329.15
35347;Century;423.19
35348;Sebring 4 Door;403.95
35349;Stratus 4 Door;423.19
35350;Accord;355.48
35351;Sonata;386.39
35352;Sonata;444.35
35353;Starion;467.74
35354;I35;444.35
35355;Vanden Plas;493.72
35356;Sable;444.35
35357;E430 4Matic;493.72
35358;E55 AMG;493.72
35359;Galant;423.19
35360;Galant;444.35
35361;Altima;386.39
35362;Altima;423.19
35363;Grand Prix;467.74
35364;09-May;403.95
35365;A8 L;493.72
35366;745li;467.74
35367;Limousine;592.47
35368;Intrepid;423.19
35369;Continental;493.72
35370;Grand Marquis;493.72
35371;A4 Avant quattro;423.19
35372;325i Sport Wagon;444.35
35373;Nubira Station Wagon;386.39
35374;Jetta Wagon;403.95
35375;Jetta Wagon;467.74
35376;Taurus Wagon;467.74
35377;RX 300 4WD;493.72
35378;Pulsar NX;296.23
35379;9-5 Wagon;403.95
35380;Legacy Wagon AWD (incl. Outback);423.19
35381;Legacy Wagon AWD (incl. Outback);423.19
35382;Legacy Wagon AWD (incl. Outback);444.35
35383;Passat Wagon;386.39
