;Model;co2
503;F150 4WD FFV BASE PAYLOAD LT;522.0
504;fortwo electric drive convertible;0.0
505;Focus FWD;316.0
506;Maxima;364.0
507;Niro;183.0
508;Niro FE;177.0
509;Grand Caravan;445.0
510;Highlander;407.0
511;Range Rover Evoque (286 Hp);377.0
512;Mustang;483.0
513;Optima Hybrid;212.0
514;Sentra;279.0
515;Sentra Nismo;330.0
516;Titan 4WD;505.0
517;Vanagon/Camper 2WD;592.47
518;Tucson FWD;342.0
519;Outlander Sport 4WD;343.0
520;Outlander Sport 4WD;353.0
521;Explorer FWD;409.0
522;Cressida;467.74
523;BRZ;322.0
524;IS 350;388.0
525;IS 350 AWD;410.0
526;RLX;383.0
527;Stinger RWD;446.0
528;XJ;416.0
529;Macan Turbo;467.0
530;Cayenne Turbo;536.0
531;GLE550e 4matic;296.0
532;MKT Hearse AWD;550.0
533;Accord 2.0T Sport/Touring;345.0
534;Prius Eco;158.0
535;Accord;344.0
536;Cadenza;383.0
537;MX-5;303.0
538;Renegade 2WD;357.0
539;CX-5 4WD;335.0
540;GT;653.0
541;WRX STI Type RA;477.0
542;Pilot AWD;408.0
543;QX80 2WD;547.0
544;Niro Plug-in Hybrid;90.0
545;Renegade 2WD;357.0
546;New Wrangler 4WD;446.0
547;Range Rover;468.0
548;Huayra;671.0
549;86;373.0
550;RC F;465.0
551;RC 350 AWD;422.0
552;AD100/AD150 Ramcharger 2WD;807.91
553;Kona FWD;303.0
554;Kona FWD;300.0
555;Golf SportWagen;320.0
556;Model S 75kWh;0.0
557;Model S 100D;0.0
558;i3s (94Ah);0.0
559;Golf SportWagen 4motion;361.0
560;Caravan/Grand Caravan/Ram Van 2WD;403.95
561;Leaf;0.0
562;Cherokee 4WD;400.0
563;Cherokee 4WD Active Drive II;416.0
564;LS 500h;314.0
565;LS 500h AWD;340.0
566;Highlander Hybrid AWD LE Plus;305.0
567;Prius Prime;78.0
568;QX50 AWD;340.0
569;Cherokee FWD;352.0
570;Cherokee 4WD;369.0
571;Cherokee 4WD Active Drive II;387.0
572;Golf/GTI;290.86
573;LS 500 AWD;417.0
574;Range Rover LWB SVA;587.0
575;Range Rover Sport SVR;540.0
576;G70 RWD;410.0
577;RX 450h L AWD;305.0
578;Ridgeline FWD;410.0
579;R15 Suburban 2WD;634.79
580;Ridgeline AWD;424.0
581;R15 Suburban 2WD;683.62
582;S560 4matic Coupe;426.0
583;AMG S65 Coupe;553.0
584;500;326.0
585;Corvette ZR1;613.0
586;Cooper Convertible;297.0
587;430i Convertible;324.0
588;S15 Jimmy 2WD;467.74
589;Cooper S Hardtop 2 door;316.0
590;John Cooper Works Hardtop;338.0
591;430i xDrive Gran Coupe;331.0
592;440i xDrive Gran Coupe;367.0
593;Golf/GTI;386.39
594;Alpina B6 xDrive Gran Coupe;448.0
595;530i;324.0
596;Cooper Clubman;321.0
597;S15 Jimmy 2WD;522.76
598;Cooper Countryman;321.0
599;Cooper Countryman All4;347.0
600;Cooper S Countryman;332.0
601;Cooper S Clubman All4;345.0
602;John Cooper Works Clubman All4;345.0
603;JCW Countryman All4;367.0
604;750i xDrive;448.0
605;Alpina B7 xDrive;448.0
606;G90 RWD;482.0
607;XE;312.0
608;Cherokee 2WD;423.19
609;Ascent;387.0
610;488 Spider;501.0
611;Cherokee 2WD;555.44
612;Fit;246.0
613;Fit;267.0
614;Fit;281.0
615;I8 Coupe;191.0
616;Cherokee 2WD;493.72
